split,sample_index,true_label,class_name,top_20_percent_mass,normalized_entropy,center_mass
validation,31,0,Real,0.34415799651628565,0.9899862301528823,0.2834011281245644
validation,192,0,Real,0.43720432760170813,0.9746218695941379,0.2940102912772916
validation,288,0,Real,0.3466633917519247,0.9832486382107318,0.3248658284243686
validation,376,0,Real,0.0,0.0,0.0
validation,460,0,Real,0.9037739933748339,0.8665486267267902,0.27272520655074106
validation,576,0,Real,0.3665197356336116,0.9807397681075389,0.2813589517992224
validation,696,0,Real,1.0,0.7235963243439767,0.0
validation,810,0,Real,1.0,0.6640876605606363,0.0
validation,931,0,Real,0.42910444846401335,0.9683742281578782,0.283437167509491
validation,1052,0,Real,0.9999999999999998,0.5572481979422215,0.0
validation_augmented,82,0,Real,1.0,0.7249351128078682,0.005217611388950058
validation_augmented,218,0,Real,0.28431170048767196,0.9937480524681699,0.25391920297314685
validation_augmented,341,0,Real,1.0,0.7809150554811052,0.0
validation_augmented,405,0,Real,0.6331789019276823,0.9275359995434617,0.10225962531560369
validation_augmented,572,0,Real,0.9985290122750708,0.8004749835458125,0.0
validation_augmented,672,0,Real,0.33700542601162936,0.9872355400846254,0.28012521198686374
validation_augmented,770,0,Real,1.0,0.5645711992546705,0.0
validation_augmented,903,0,Real,0.8790004011541355,0.8738792733214072,0.000883950464527247
validation_augmented,1014,0,Real,0.9931090801989854,0.8322725743064474,0.1753882573519021
validation_augmented,1116,0,Real,0.8712592393723049,0.8759713462660835,0.1649800062003146
validation,0,1,AI-generated,0.30362786639478273,0.9934633718864914,0.2690706276536346
validation,92,1,AI-generated,0.30212541390381303,0.9929742019709533,0.31926430889776597
validation,194,1,AI-generated,0.3003645509200521,0.9935192060698149,0.28852777752322795
validation,306,1,AI-generated,0.3345470591908698,0.9898277639740898,0.25213148878649705
validation,410,1,AI-generated,0.32889971039805954,0.9897198570130697,0.16036139909033006
validation,523,1,AI-generated,0.29496855066233074,0.9925679237761332,0.26434676766729615
validation,622,1,AI-generated,0.33500003058448,0.990728455206103,0.27090668362222775
validation,749,1,AI-generated,0.3330049443923551,0.9911161804111361,0.23745256090141087
validation,857,1,AI-generated,0.310318404718248,0.9911149101651819,0.2980659018094725
validation,972,1,AI-generated,0.3026165510051022,0.9923403543198775,0.2391267409145275
validation,1065,1,AI-generated,0.3899658942286607,0.9829076486542514,0.40374168700695773
validation_augmented,50,1,AI-generated,0.3393676384993807,0.9893505496015172,0.35572007672705563
validation_augmented,174,1,AI-generated,0.31320545074673634,0.9918673684076096,0.2744482433542419
validation_augmented,290,1,AI-generated,0.34315342827837236,0.988721802364742,0.26482225236289125
validation_augmented,450,1,AI-generated,0.3216966035476092,0.9913426330701353,0.21484124859031326
validation_augmented,575,1,AI-generated,0.3208098128436965,0.9913425945831181,0.218393012527483
validation_augmented,709,1,AI-generated,0.30128354269231883,0.9920624631499486,0.304965334080126
validation_augmented,859,1,AI-generated,0.3554924548318842,0.9884531795594101,0.18241685829662202
validation_augmented,993,1,AI-generated,0.32782924566072924,0.9903842215527411,0.2912961871506206
validation_augmented,1123,1,AI-generated,0.4150982672723317,0.9796598409064359,0.16746085800060018
